lon,lat
-10.0,-44.40106966966414
-9.946373788233227,-44.40843963623047
-9.916666984558105,-44.41230354431661
-9.833333015441895,-44.42215577095743
-9.75,-44.4329950191908
-9.666666984558105,-44.446424428741764
-9.583333015441895,-44.46259018000553
-9.55909367752608,-44.46793746948242
-9.5,-44.47949634592789
-9.416666984558105,-44.49671239680934
-9.333333015441895,-44.514771785089465
-9.279017344400446,-44.52737808227539
-9.25,-44.53436754004059
-9.166666984558105,-44.553188354333315
-9.083333015441895,-44.56686206152486
-9.0,-44.57722787470563
-8.916666984558105,-44.586066631362506
-8.910089148039331,-44.58675765991211
-8.833333015441895,-44.594982610895855
-8.75,-44.604938706470165
-8.666666984558105,-44.618006765595425
-8.583333015441895,-44.635181074553664
-8.538504068618831,-44.64607620239258
-8.5,-44.654801668009114
-8.416666984558105,-44.67482675939438
-8.333333015441895,-44.69500084036353
-8.289778419343667,-44.7053337097168
-8.25,-44.714584141670834
-8.166666984558105,-44.731671461109116
-8.083333015441895,-44.74582106368443
-8.0,-44.7576281725767
-7.9447201033327115,-44.764530181884766
-7.916666507720947,-44.76815190661645
-7.833333492279053,-44.77800876573927
-7.749999999999999,-44.78693991131772
-7.666666507720947,-44.79480696147418
-7.583333492279053,-44.80144633024907
-7.5,-44.80706731656858
-7.416666507720947,-44.81210404795026
-7.333333492279053,-44.81671725528448
-7.25,-44.820964162295105
-7.193294251803602,-44.82366943359375
-7.166666507720947,-44.8251532919731
-7.083333492279053,-44.82961964498478
-7.0,-44.83415347878894
-6.916666507720948,-44.838942784190294
-6.833333492279053,-44.84401783912501
-6.75,-44.849467179187485
-6.666666507720947,-44.855473082495976
-6.583333492279053,-44.862208056073214
-6.5,-44.87002526115678
-6.416666507720947,-44.87933293210529
-6.389138679123262,-44.882747650146484
-6.333333492279052,-44.89078246184446
-6.25,-44.9037626334351
-6.166666507720947,-44.91829013535816
-6.083333492279053,-44.93341603674461
-6.031109939896981,-44.9417610168457
-6.0,-44.9466966787789
-5.916666507720947,-44.95498252235758
-5.833333492279053,-44.956055870563034
-5.749999999999999,-44.95047778234294
-5.666666507720947,-44.94195306530429
-5.664992628311338,-44.9417610168457
-5.583333492279053,-44.92946275715327
-5.5,-44.9129792727041
-5.416666507720947,-44.89209547275922
-5.384577223539815,-44.882747650146484
-5.333333492279053,-44.86439292235515
-5.25,-44.82458980165306
-5.248523348370876,-44.82366943359375
-5.166666507720947,-44.78145257898026
-5.137842744893027,-44.764530181884766
-5.083333492279053,-44.73918689569896
-5.019215029614275,-44.7053337097168
-5.0,-44.695559037260274
-4.923590827681635,-44.64607620239258
-4.916666507720947,-44.641534535572
-4.846968318596339,-44.58675765991211
-4.833333492279053,-44.576379269157016
-4.779001612330978,-44.52737808227539
-4.75,-44.50307388809336
-4.714784842098493,-44.46793746948242
-4.666666507720947,-44.423876517780855
-4.65045400326183,-44.40843963623047
-4.583333492279053,-44.35022630539119
-4.581620267695343,-44.348876953125
-4.500000000000001,-44.2899852794385
-4.498760921893048,-44.28925704956055
-4.416666507720947,-44.24384167906274
-4.382432527888355,-44.229576110839844
-4.333333492279053,-44.211320947834906
-4.25,-44.18811621132535
-4.167517381802933,-44.169830322265625
-4.166666507720947,-44.16965258874333
-4.083333492279053,-44.155360939457154
-4.0,-44.14463056589517
-3.9166667461395264,-44.136591102999894
-3.833333253860473,-44.13078533362004
-3.75,-44.127207896037966
-3.6666667461395264,-44.1256881025721
-3.5833332538604736,-44.12592154027078
-3.5,-44.128856701586585
-3.4166667461395264,-44.13547225414528
-3.3333332538604736,-44.14727356655985
-3.25,-44.16240728281868
-3.2139747666842147,-44.169830322265625
-3.1666667461395264,-44.17962601710652
-3.0833332538604736,-44.19596469041988
-3.0,-44.21384491958655
-2.925243450965757,-44.229576110839844
-2.9166667461395264,-44.23142741438769
-2.8333332538604736,-44.249564858507895
-2.75,-44.26258491704906
-2.6666667461395264,-44.27619956054329
-2.5833332538604736,-44.284328969202534
-2.549263138989492,-44.28925704956055
-2.5,-44.29559101461775
-2.4166667461395264,-44.29827853345056
-2.3333332538604736,-44.30518972188309
-2.25,-44.303696113701754
-2.1666667461395264,-44.30776093060093
-2.0833332538604736,-44.30763257179906
-2.0,-44.311077240793054
-1.9166666269302368,-44.314368484850256
-1.8333333730697632,-44.316581315816606
-1.75,-44.317956600041974
-1.6666666269302368,-44.317596201811284
-1.5833333730697632,-44.31537395740479
-1.5,-44.31105359845249
-1.4166666269302368,-44.30485538450167
-1.3333333730697632,-44.29713562642053
-1.2546440641113987,-44.28925704956055
-1.25,-44.28879807535165
-1.1666666269302368,-44.28091793071714
-1.0833333730697632,-44.27333723687353
-1.0,-44.26601179426898
-0.9166666865348816,-44.25866407289502
-0.8333333134651183,-44.250904161916125
-0.75,-44.24269483950144
-0.6666666865348816,-44.2346179529336
-0.6127273466567764,-44.229576110839844
-0.5833333134651184,-44.22655041919806
-0.5,-44.218315491789824
-0.4166666567325592,-44.21160700682242
-0.3333333432674408,-44.207082111413136
-0.25,-44.204761588217245
-0.1666666716337204,-44.204061523544155
-0.0833333358168602,-44.20465769602041
-1.8189894035458565e-12,-44.206249556563
0.0833333358168602,-44.208930357767336
0.1666666716337204,-44.21308262467437
0.25,-44.219193916785855
0.3333333432674408,-44.22710090065181
0.35528688971051103,-44.229576110839844
0.4166666567325592,-44.23683128957541
0.5,-44.247759916927926
0.5833333134651184,-44.25984179502461
0.6666666865348816,-44.27309375929079
0.75,-44.28799065735667
0.7563618707439094,-44.28925704956055
0.8333333134651184,-44.30525592397622
