lat,lon
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
-49.952056884765625,2.5
